ID,Nombre,Apellido,Género,Fecha de Nacimiento,Tipo de Documento,Número de Documento,Grado,Fecha de Ingreso,Estrato,Grupo Étnico,Departamento,Ciudad,Segunda Lengua,Materia Favorita
159,Laura,Martin,Masculino,2008-06-19,TI,8778772852,6,2023-12-01,5,Otro,Antioquia,Madrid,Principiante absoluto,Ciencias
160,Adolfo,Manuel,Femenino,2007-07-18,TI,2299362466,10,2025-01-05,1,Blanco,Valle del Cauca,Badajoz,Intermedio,Español
161,Leocadio,Paniagua,Otro,2009-08-12,RC,4642719217,9,2022-07-31,4,Otro,Santander,Vizcaya,Experto,Ciencias
162,Mohamed,Gomez,Femenino,2011-03-16,TI,5244165335,7,2021-08-25,2,Otro,Antioquia,Soria,Experto,Español
163,Raquel,Miguel,Otro,2013-01-18,CC,4929382790,11,2024-05-17,5,Palenquero,Atlántico,Las Palmas,Experto,Matemáticas
164,Florinda,Arjona,Otro,2008-02-03,RC,2976925355,8,2024-02-15,1,Afrodescendiente,Cundinamarca,Melilla,Intermedio,Historia
165,Sebastián,Padilla,Masculino,2013-01-03,CC,8791677478,7,2022-11-06,4,Raizal,Santander,La Rioja,Intermedio,Arte
166,Alexandra,Haro,Otro,2009-01-29,CC,5027270990,11,2023-03-30,1,Raizal,Antioquia,Granada,Principiante,Educación Física
167,Hugo,Rojas,Femenino,2011-03-02,RC,6668269618,7,2020-08-28,5,Afrodescendiente,Bogotá,Málaga,Experto,Ciencias
168,Adalberto,Almagro,Femenino,2012-10-16,RC,8892832786,10,2023-03-04,4,Indígena,Bogotá,Madrid,Experto,Inglés
169,Sandalio,Canals,Masculino,2007-03-22,TI,2201474349,8,2022-11-06,6,Otro,Antioquia,Cuenca,Avanzado,Español
170,Delfina,Botella,Femenino,2010-01-13,RC,9832494133,7,2022-11-10,2,Raizal,Antioquia,Soria,Principiante,Historia
171,Eladio,Quintero,Otro,2011-01-10,CC,3566520582,7,2019-05-11,4,Raizal,Santander,Palencia,Principiante,Arte
172,Camilo,Prat,Masculino,2012-08-20,CC,4839723658,11,2024-06-05,3,Otro,Santander,Girona,Principiante,Matemáticas
173,Jacobo,Tello,Otro,2011-11-22,TI,2500461337,11,2022-01-14,1,Indígena,Cundinamarca,Ceuta,Intermedio,Inglés
174,Roldán,Navarro,Femenino,2010-06-17,TI,9612200994,6,2020-12-12,5,Mestizo,Antioquia,Ávila,Intermedio,Inglés
175,Melania,Mariño,Femenino,2007-08-12,RC,7796081930,9,2020-09-12,5,Mestizo,Santander,Salamanca,Experto,Arte
176,Nacho,Arranz,Femenino,2011-02-16,RC,8877991433,7,2024-08-02,5,Otro,Cundinamarca,Cáceres,Intermedio,Historia
177,Rosendo,Cárdenas,Masculino,2009-05-08,TI,4049817846,7,2021-12-23,6,Indígena,Cundinamarca,Huelva,Experto,Ciencias
178,Narciso,Bermudez,Masculino,2012-02-28,CC,7220690902,7,2024-03-22,5,Otro,Valle del Cauca,Asturias,Principiante absoluto,Español
179,Amancio,Herrero,Otro,2006-05-05,CC,1245373799,7,2023-10-19,1,Blanco,Valle del Cauca,Jaén,Intermedio,Español
180,Marcelino,Reig,Masculino,2010-06-19,RC,1552307550,8,2022-01-24,6,Blanco,Cundinamarca,Madrid,Principiante,Ciencias
181,Francisca,Alcalde,Femenino,2010-05-16,CC,9787445901,11,2021-10-28,4,Blanco,Atlántico,Pontevedra,Experto,Español
182,Jose Antonio,Ibañez,Femenino,2012-05-26,CC,8774798350,7,2022-07-09,5,Otro,Bogotá,Ceuta,Avanzado,Historia
183,Ignacio,Llanos,Otro,2008-09-21,TI,9283516811,9,2023-03-16,5,Blanco,Valle del Cauca,Melilla,Principiante,Español
184,Sandra,Cardona,Masculino,2009-10-22,CC,7586437760,8,2021-08-06,2,Palenquero,Santander,La Rioja,Intermedio,Arte
185,Alfonso,Sainz,Otro,2008-04-30,CC,4063239101,10,2019-07-15,5,Palenquero,Bogotá,Murcia,Principiante,Ciencias
186,Teófila,Arévalo,Masculino,2012-02-10,RC,3039541716,6,2023-12-10,6,Palenquero,Santander,Teruel,Intermedio,Educación Física
187,Leire,Amor,Femenino,2012-04-26,RC,2254312594,10,2019-12-10,6,Afrodescendiente,Atlántico,Ciudad,Principiante absoluto,Matemáticas
188,Elpidio,Amorós,Otro,2009-01-26,CC,2638819030,8,2021-03-08,6,Otro,Bogotá,Huesca,Experto,Español
189,Sigfrido,Figueroa,Otro,2006-05-02,RC,4498358436,7,2021-10-25,3,Raizal,Antioquia,Badajoz,Intermedio,Educación Física
190,Ani,Goñi,Masculino,2010-06-14,CC,3640287432,10,2021-04-17,6,Raizal,Bogotá,Tarragona,Avanzado,Español
191,Rosalinda,Alegre,Masculino,2011-12-25,RC,9760608330,9,2021-08-03,5,Palenquero,Santander,Burgos,Principiante,Inglés
192,Benigno,Belmonte,Masculino,2009-10-09,CC,5830382824,10,2020-08-30,6,Blanco,Cundinamarca,Tarragona,Avanzado,Arte
193,Elías,Reyes,Femenino,2009-07-17,CC,8778053276,8,2024-12-01,3,Raizal,Cundinamarca,Granada,Principiante absoluto,Historia
